"","study_id","phase","location_continent","standard_age_list","time_frame","assay","dose_number","serotype","value","vaccine","dose_description","schedule","time_frame_weeks"
"74","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"5",360.6,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"75","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"5",409.9,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"76","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"23F",774.5,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"77","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"19A",8.89,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"78","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"6B",495.2,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"79","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"7F",6977,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"80","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"1",187.2,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"81","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"19F",4.16,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"82","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"19A",3.97,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"83","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"7F",3.12,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"84","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"14",4.67,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"85","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"14",5.06,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"86","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"23F",4.11,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"87","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"19A",0.26,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"88","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"5",1.49,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"89","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"6B",8.32,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"90","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"1",4.05,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"91","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"14",3.86,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"92","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"1",5.71,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"93","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"6A",4.86,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"94","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"1",2.12,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"95","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"19F",9.79,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"96","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"6A",1.09,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"97","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"7F",6.36,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"98","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"9V",1.29,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"99","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"5",1.31,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"100","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"5",1.26,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"101","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"23F",1.65,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"102","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"5",0.84,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"103","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"9V",2.08,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"104","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"23F",0.94,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"105","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"1",2.47,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"106","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"9V",1.43,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"107","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"7F",2.49,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"108","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"19A",0.95,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"109","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"19F",6.18,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"110","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"19A",1.5,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"111","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"6A",0.42,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"112","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"9V",1.8,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"113","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"6B",4.44,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"114","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"6B",1.29,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"115","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"6A",0.12,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"116","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"6B",1.15,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"117","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"14",6.84,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"118","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",3,"19F",6.31,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"119","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"23F",2.15,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"120","NCT03197376","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","IgG",4,"7F",4.07,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"121","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"5",4.63,"PCV15","1m post dose 1 adult","1 dose adult",0
"122","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"1",3.91,"PCV15","1m post dose 1 adult","1 dose adult",0
"123","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"6A",8.84,"PCV15","1m post dose 1 adult","1 dose adult",0
"124","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"3",0.74,"PCV15","1m post dose 1 adult","1 dose adult",0
"125","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"6A",8.09,"PCV15","1m post dose 1 adult","1 dose adult",0
"126","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"1",3.83,"PCV15","1m post dose 1 adult","1 dose adult",0
"127","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"7F",5.94,"PCV15","1m post dose 1 adult","1 dose adult",0
"128","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"4",2.18,"PCV15","1m post dose 1 adult","1 dose adult",0
"129","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"7F",5.71,"PCV15","1m post dose 1 adult","1 dose adult",0
"130","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"23F",7.44,"PCV15","1m post dose 1 adult","1 dose adult",0
"131","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"6B",11.46,"PCV15","1m post dose 1 adult","1 dose adult",0
"132","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"14",8.66,"PCV15","1m post dose 1 adult","1 dose adult",0
"133","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"14",9.82,"PCV15","1m post dose 1 adult","1 dose adult",0
"134","NCT03950856","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","IgG",1,"4",1.67,"PCV15","1m post dose 1 adult","1 dose adult",0
