"","clinical_trial_study_id","clinical_trial_sponsor","clinical_trial_phase","location_continent","study_eligibility_standard_age_list","outcome_overview_time_frame","outcome_overview_assay","outcome_overview_dose_number","outcome_overview_serotype","outcome_overview_value","outcome_overview_upper_limit","outcome_overview_lower_limit","outcome_overview_vaccine","outcome_overview_dose_description","outcome_overview_schedule","outcome_overview_time_frame_weeks"
"75","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"5",409.9,537.8,312.4,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"76","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"23F",774.5,1020,588.3,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"77","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"19A",8.89,11.6,6.81,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"78","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",3,"6B",495.2,722.1,339.6,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"79","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"7F",6977,8691,5602,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"80","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","OPA",4,"1",187.2,247.4,141.6,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"81","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"9V",1.43,1.6,1.28,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"82","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"19F",6.31,7.24,5.51,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"83","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"19A",1.5,1.64,1.37,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"84","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"5",1.31,1.41,1.21,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"85","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"23F",0.94,1.11,0.8,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"86","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"19F",4.16,4.48,3.85,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"87","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"19A",3.97,4.33,3.63,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"88","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"14",4.67,5.55,2.92,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"89","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"6A",0.42,0.5,0.36,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"90","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"23F",4.11,4.5,3.75,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"91","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"6A",4.86,5.38,4.4,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"92","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"7F",2.49,2.79,2.22,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"93","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"7F",6.36,6.89,5.87,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"94","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"14",3.86,4.57,3.25,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"95","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"7F",3.12,3.37,2.89,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"96","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"6B",1.29,1.48,1.13,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"97","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"1",2.47,2.8,2.19,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"98","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"6B",1.15,1.41,0.94,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"99","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"6B",8.32,8.99,7.7,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"100","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"19F",6.18,6.71,5.7,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"101","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"9V",1.29,1.39,1.2,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"102","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"19A",0.26,0.31,0.23,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"103","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"5",1.49,1.59,1.39,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"104","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"23F",1.65,1.8,1.5,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"105","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"5",1.26,1.38,1.14,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"106","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"14",5.06,5.62,4.57,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"107","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"19F",9.79,10.92,8.77,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"108","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"9V",2.08,2.31,1.87,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"109","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"1",2.12,2.38,1.88,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"110","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"6A",0.12,0.14,0.11,"PCV10 (Synflorix)","1m post primary child","3+1 child",18
"111","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"9V",1.8,1.94,1.67,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"112","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"7F",4.07,4.52,3.67,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"113","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"14",6.84,7.68,6.08,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"114","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"6B",4.44,4.93,4,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"115","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"1",5.71,6.21,5.25,"PCV10 (Pneumosil)","1m post boost child","3+1 child",40
"116","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"6A",1.09,1.22,0.98,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"117","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",3,"1",4.05,4.36,3.76,"PCV10 (Pneumosil)","1m post primary child","3+1 child",18
"118","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"23F",2.15,2.44,1.9,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"119","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"19A",0.95,1.15,0.79,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"120","NCT03197376","PATH","Phase 3","Africa","[""Child""]","4 weeks post booster vaccination","GMC",4,"5",0.84,0.93,0.76,"PCV10 (Synflorix)","1m post boost child","3+1 child",40
"121","NCT03950856","Merck Sharp & Dohme LLC","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","GMC",1,"6A",8.84,NA,NA,"PCV15","1m post dose 1 adult","1 dose adult",0
"122","NCT03950856","Merck Sharp & Dohme LLC","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","GMC",1,"14",8.66,NA,NA,"PCV15","1m post dose 1 adult","1 dose adult",0
"123","NCT03950856","Merck Sharp & Dohme LLC","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","GMC",1,"3",0.73,NA,NA,"PCV15","1m post dose 1 adult","1 dose adult",0
"124","NCT03950856","Merck Sharp & Dohme LLC","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","GMC",1,"3",0.86,NA,NA,"PCV15","1m post dose 1 adult","1 dose adult",0
"125","NCT03950856","Merck Sharp & Dohme LLC","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","GMC",1,"1",3.91,NA,NA,"PCV15","1m post dose 1 adult","1 dose adult",0
"126","NCT03950856","Merck Sharp & Dohme LLC","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","GMC",1,"7F",5.71,NA,NA,"PCV15","1m post dose 1 adult","1 dose adult",0
"127","NCT03950856","Merck Sharp & Dohme LLC","Phase 3","Australia & Oceania,North America,North America,North America,North America,North America,North America,North America,Australia & Oceania,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,Europe,Europe,North America,North America,North America,North America,North America,Europe,Europe,North America,Europe,North America,North America,Europe,North America,Europe,South America,Europe,South America,North America,South America,North America,North America,North America,North America,Europe,South America,Europe,North America,Europe,Australia & Oceania,North America,South America,Australia & Oceania,North America,Europe","[""Adult"",""Older Adult""]","Day 30","GMC",1,"4",1.67,NA,NA,"PCV15","1m post dose 1 adult","1 dose adult",0
